
I adore winter #favorite
I dislike cheese #fail
I dislike that film #worstever
I hate coffee #fail
I hate coffee #rubbish
I hate tea #rubbish
I hate tea #thumbs-down
I hate tea #worstever
I hate that band #worstever
I hate that film #nightmare
I hate that film #worstever
I hate the holidays #fail
I hate the holidays #hateit
I hate the holidays #thumbs-down
I hate this band #nightmare
I hate this band #thumbs-down
I hate this book #hateit
I hate this book #rubbish
I hate this book #worstever
I hate this game #worstever
I hate this team #thumbs-down
I like cheese #favorite
I like classical music #toptastic
I like jam #brilliant
I like jam #favorite
I like pop music #favorite
I like rock music #brilliant
I like rock music #loveit
I like winter #favorite
I like winter #thumbs-up
I loathe classical music #nightmare
I loathe classical music #thumbs-down
I loathe classical music #worstever
I loathe coffee #fail
I loathe coffee #hateit
I loathe coffee #nightmare
I loathe jam #fail
I loathe jam #rubbish
I loathe rock music #hateit
I loathe rock music #rubbish
I loathe this book #thumbs-down
I loathe this game #nightmare
I love coffee #brilliant
I love coffee #favorite
I love coffee #loveit
I love coffee #thumbs-up
I love jam #loveit
I love pop music #brilliant
I love pop music #thumbs-up
I love rock music #brilliant
I love skiing #favorite
I love summer #loveit
I love that band #brilliant
I love that band #loveit
I love that band #toptastic
I love that film #thumbs-up
I love the holidays #brilliant
I love the holidays #loveit
I love this band #bestever
I love this band #loveit
I love this band #thumbs-up
I love this book #favorite
I love this book #loveit
I love this game #thumbs-up
I love this game #toptastic
I love winter #brilliant
I love winter #loveit
We adore that film #brilliant
We adore that film #loveit
We adore that movie #loveit
We adore this book #bestever
We adore this book #loveit
We adore this book #toptastic
We dislike that film #worstever
We dislike that movie #thumbs-down
We dislike this book #fail
We dislike this book #worstever
We dislike this game #worstever
We dislike this team #rubbish
We dislike this team #thumbs-down
We hate that movie #hateit
We hate that movie #rubbish
We hate that movie #worstever
We hate this book #hateit
We hate this book #nightmare
We hate this book #thumbs-down
We hate this game #nightmare
We hate this game #rubbish
We hate this team #hateit
We hate this team #thumbs-down
We like that film #bestever
We like that film #brilliant
We like that film #toptastic
We like that movie #brilliant
We like that movie #toptastic
We like this book #brilliant
We like this book #loveit
We like this game #favorite
We like this game #loveit
We like this game #thumbs-up
We like this team #brilliant
We like this team #favorite
We like this team #loveit
We like this team #thumbs-up
We like this team #toptastic
We loathe this book #thumbs-down
We loathe this game #fail
We loathe this game #thumbs-down
We loathe this game #worstever
We love that film #brilliant
We love this book #brilliant
We love this book #favorite
We love this book #toptastic
We love this team #brilliant
We love this team #favorite
We love this team #loveit
We love this team #thumbs-up
cheese is awful #fail
cheese is awful #hateit
cheese is awful #nightmare
cheese is brilliant #loveit
cheese is brilliant #thumbs-up
cheese is brilliant #toptastic
cheese is fantastic #loveit
cheese is fantastic #toptastic
cheese is great #favorite
cheese is great #loveit
cheese is great #thumbs-up
cheese is really bad #fail
cheese is really bad #hateit
cheese is really bad #thumbs-down
cheese is terrible #rubbish
cheese is the best #thumbs-up
classical music is rubbish #worstever
classical music is terrible #worstever
classical music is the best #thumbs-up
coffee is awful #nightmare
coffee is awful #rubbish
coffee is awful #worstever
coffee is brilliant #favorite
coffee is brilliant #thumbs-up
coffee is fantastic #brilliant
coffee is fantastic #favorite
coffee is fantastic #toptastic
coffee is great #bestever
coffee is great #favorite
coffee is great #toptastic
coffee is rubbish #hateit
coffee is rubbish #nightmare
coffee is terrible #rubbish
coffee is the best #bestever
coffee is the best #brilliant
coffee is the best #favorite
coffee is the best #toptastic
jam is awful #fail
jam is awful #hateit
jam is awful #rubbish
jam is awful #thumbs-down
jam is awful #worstever
jam is brilliant #favorite
jam is brilliant #thumbs-up
jam is fantastic #thumbs-up
jam is fantastic #toptastic
jam is great #bestever
jam is great #thumbs-up
jam is really bad #rubbish
jam is terrible #nightmare
jam is the best #favorite
jam is the best #thumbs-up
jam is the best #toptastic
pop music is awful #worstever
pop music is brilliant #favorite
pop music is brilliant #toptastic
pop music is fantastic #brilliant
pop music is fantastic #loveit
pop music is fantastic #toptastic
pop music is great #brilliant
pop music is great #loveit
pop music is really bad #fail
pop music is really bad #rubbish
pop music is rubbish #thumbs-down
pop music is terrible #hateit
pop music is terrible #thumbs-down
pop music is the best #loveit
pop music is the best #thumbs-up
pop music is the best #toptastic
rock music is awful #fail
rock music is brilliant #bestever
rock music is brilliant #thumbs-up
rock music is fantastic #brilliant
rock music is fantastic #favorite
rock music is great #brilliant
rock music is great #favorite
rock music is really bad #hateit
rock music is really bad #thumbs-down
rock music is really bad #worstever
rock music is rubbish #nightmare
rock music is rubbish #rubbish
rock music is terrible #hateit
rock music is terrible #nightmare
rock music is the best #bestever
rock music is the best #thumbs-up
skiing is awful #rubbish
skiing is awful #thumbs-down
skiing is fantastic #thumbs-up
skiing is fantastic #toptastic
skiing is great #brilliant
skiing is great #favorite
skiing is great #thumbs-up
skiing is great #toptastic
skiing is really bad #fail
